id,desc,answer_desc,result_desc
18,"Du willst unglaublich gern eine Zeitung kaufen, um zu erfahren, was in letzter Zeit auf dem Campus passiert ist.","Kaufe die ""Yume Nachrichten"" |Kaufe die ""100% Geheim""","Egal ob es das Interview nach dem letzten Sportwettkampf ist, oder das exklusiv Interview mit Anastasia, der Inhalt ist sehr offiziell und langweilig. Du merkst, dass du noch am liebsten die Kategorie ""Tägliche Witze"" in der Zeitung magst. |Der Inhalt sind nur ein paar altbekannte Gerüchte. Du widmest ihnen nur einen kurzen Blick und liest dann nicht genauer nach. Du läufst zur Bibliothek und suchst Librarian. Während ihr euch unterhaltet vergeht der Tag wie im Fluge."
19,Der neue Rennrad-Wettkampf ermöglicht es den Zuschauern aus der Nähe zuzuschauen.,"Gehe zur Ziellinie des Wettkampfs. |Gehe zu einem Straßenabschnitt des Wettkampfes, an dem ein hohes Risiko für Unfälle herrscht.","Du merkst, dass du dich verlaufen hast und an einen staubigen Ort ohne Menschen geraten bist. Auf einem Stein entdeckst du eine merkwürdige Markierung. |Am Straßenabschnitt kannst du Chevalier und ihre Gegnerin beobachten. Du wirst fast von einem Stein getroffen, der in deine Richtung geschleudert wird, als die beiden um die Kurve flitzen. Dir bricht kalter Angstschweiß aus."
20,Du bist vom Chaodo-Club eingeladen worden und gehst zum Aktivitätscenter des Clubs um Tee zu probieren.,Trinke eine Tasse schwarzen Tee. |Trinke eine Tasse grünen Tee.,"Du trinkst alles und fällst in Ohnmacht. Bevor du dein Bewusstsein verlierst, siehst du eine weiße Silhouette, die eine Kristallkugel in den Händen hält. Als du aufwachst merkst du, dass du schon wieder im Wohnheim bist. Auf deinem Bett liegt ein Päcken, auf dem steht ""Danke fürs Probieren der Medizin"". |Als du gerade einen Schluck nehmen willst, erscheint Iron Fist urplötzlich und nimmt dir die Tasse weg. Stattdessen gibt sie dir eine Tasse schwarzen Tee."
21,Im Briefkasten liegt ein Umfragebogen für dich. Auf diesem steht nur eine einzige Frage：Welche Karte magst du?,Herz-Ass. |Piek König.,"Du entdeckst, dass unter dem Umfragebogen noch eine kleine Box liegt. In ihr findest du einen kleinen Teddybär, der eine Krone trägt. |Am nächsten Tag findest du im Briefkasten einen roten Apfel mit schwarzen Federn."
22,"Du triffst auf Feinde. Greifst du an? (Wenn du verlierst verlängert sich die Erkundungszeit. Wenn du dich vor der Herausforderung drückst, hast du keine Möglichkeit Belohnungen zu erhalten)",,"Dein Team besiegt die Feinde! |Obwohl ihr nicht gewonnen habt, kannst du sicher abziehen."
23,"Du triffst auf Feinde. Greifst du an? (Wenn du verlierst verlängert sich die Erkundungszeit. Wenn du dich vor der Herausforderung drückst, hast du keine Möglichkeit Belohnungen zu erhalten)",,"Dein Team besiegt die Feinde! |Obwohl ihr nicht gewonnen habt, kannst du sicher abziehen."
24,"Du triffst auf Feinde. Greifst du an? (Wenn du verlierst verlängert sich die Erkundungszeit. Wenn du dich vor der Herausforderung drückst, hast du keine Möglichkeit Belohnungen zu erhalten)",,"Dein Team besiegt die Feinde! |Obwohl ihr nicht gewonnen habt, kannst du sicher abziehen."
25,"Geisha übt in letzter Zeit ein Musikinstrument mit dem sie sich nicht gut auskennt. Du wolltes eigentlich mit ihr üben, aber nachdem du 2 Tage ihre schrägen Töne gehört hast, gibst du auf.",,
26,Du nimmst Kratos Einladung an sie zu besuchen. Eigentlich dachtest du sie würde eine Menge reden. Am Ende lässt sie dich ihr zwei komplette Märchenbücher vorlesen…,,
27,"Sonya läd dich ein ihr neues Gericht zu probieren. Direkt nachdem du einen Bissen gekostet hast, fällst du in Ohnmacht. Als du wieder aufwachst erfährst du, dass dieses Gericht extra für die Schulmädchen, die schlecht schlafen, entwickelt wurde.",,
28,"Auf der Straße triffst du KongMing. Du hoffst, dass sie dir helfen kann, die verloren gegangen Items zu suchen. Aber KongMing scheint etwas wichtigeres vor zu haben. Nachdem sie dir ein paar einfache Hinweise gegeben hat, ist sie schon wieder verschwunden.",,
29,Der Schrebergarten-Verein will an einer kahlen Stelle Blumen pflanzen und kommt zu dir um dich um deine Meinung zu bitten.,Schlage vor Löwenzahn zu pflanzen. |Schlage vor Maiglöckchen zu pflanzen.,"Die Schulmädchen des Schrebergarten-Vereins danken dir für deinen Rat und schenken dir obendrein noch einen Löwenzahn. |Nachdem die Mädchen deinen Rat gehört haben, nehmen sie dich mit damit du ihnen bei der Arbeit hilfst. Es wird gesagt, dass dies die Forderung einer merkwürdigen Schülerin war."
30,Das Studentenwerk rekrutiert. KongMing vertraut dir diese Aufgabe an.,"Nutze die Radiostation des Campus, um die Nachricht zu verbreiten. |Lass die Nachrichtenagentur diese Nachrichten in den Schlagzeilen veröffentlichen.","Ein ""Monster"" kommt mir einer Waffe, um sich zu bewerben. Du gehst zur Cafeteria, kaufst ihre drei Truthahnbeine und schickst den ungebetenen Gast, der nur kämofen wollte, weg. |Gabriel lernt in letzter Zeit in neues Lied. Du wartest einen ganzen Vormittag doch es kommt niemand, um sich zu bewerben. Du gehst zum Markt und kaufst ein Brot zum Mittagessen. Es schmeckt der gut und kann deine Stimmung etwas aufheitern."
31,"Das Café nutzt in letzter Zeit eine neue Mahl-Maschine, aber die Mitarbeiter können nicht mit ihr umgehen.",Bitte Knospe sie zu reparieren. |Bitte Javelin sie zu reparieren.,"Knospe merkt, dass die Mahl-Maschine leicht stockt und deshalb seit zwei Stunden Probleme macht. Mit ihren magischen Kraft glättet sie das Maschinenteil, dass das Stottern verursacht hat und repariert die Maschine. |Javelin ist sehr beliebt. Alle Mitarbeiter und Kunden des Cafés freuen sich darauf mit ihr zu reden. Es interessiert deshalb niemanden, ob der Kaffee gut schmeckt, oder ob die Maschine repariert wird."
32,"Das Geisterhaus hält einen Wettkampf ab. Es soll gewählt werden, wer am Campus am wenigsten auffällt.",Wähle Reika. |Wähle Minos.,"Reika ist keine Schülerin des Geisterhauses, deshalb hat deine Wahl keinen Einfluss. |Weil derjenige mit den wenigsten Stimmen gewinnt, verliert Minos. Dir tut es sehr leid und du kaufst ihr einen Teufels Frucht Saft."
33,Dein Geldbeutel ist verloren gegangen. Im Geldbeutel sind noch Tickets für gratis Mahlzeiten in Sonya Kantine. Du willst sie wiederfinden.,Such unterm Bett im Wohnheimszimmer. |Suche in den Schubladen des Schreibtisches im Klassenzimmer.,"Du findest den Geldbeutel nicht, aber einige Münzen für die Kapselmaschine. Du erhälst einige Belohnungen. |Die Schubladen sind leer, aber du triffst am Eingang des Klassenzimmers auf Sonya, die viele Zutaten trägt. Du hilfst ihr die Zutaten zu tragen und erhälst einen Gratisgutschein für ihre Cafeteria als Dankeschön."
34,"Du triffst auf Feinde. Greifst du an? (Wenn du verlierst verlängert sich die Erkundungszeit. Wenn du dich vor der Herausforderung drückst, hast du keine Möglichkeit Belohnungen zu erhalten)",,"Dein Team besiegt die Feinde! |Obwohl ihr nicht gewonnen habt, kannst du sicher abziehen."
35,"Du triffst auf Feinde. Greifst du an? (Wenn du verlierst verlängert sich die Erkundungszeit. Wenn du dich vor der Herausforderung drückst, hast du keine Möglichkeit Belohnungen zu erhalten)",,"Dein Team besiegt die Feinde! |Obwohl ihr nicht gewonnen habt, kannst du sicher abziehen."
36,"Du triffst auf Feinde. Greifst du an? (Wenn du verlierst verlängert sich die Erkundungszeit. Wenn du dich vor der Herausforderung drückst, hast du keine Möglichkeit Belohnungen zu erhalten)",,"Dein Team besiegt die Feinde! |Obwohl ihr nicht gewonnen habt, kannst du sicher abziehen."
37,"Bunny und Historia wetteifern darum, wer als erstes eine Belohnung aus der Kapselmaschine zieht. Letztendlich hat keiner von ihnen etwas bekommen.",,
38,"Auf der Straße triffst du KongMing. Du hoffst, dass sie dir helfen kann, die verloren gegangen Items zu suchen. Aber KongMing scheint etwas wichtigeres vor zu haben. Nachdem sie dir ein paar einfache Hinweise gegeben hat, ist sie schon wieder verschwunden.",,
39,Du willst den Unterschied zwischen klarem und Schneeeis erfahren. Deshalb gehst du zu Fencer. Sie will es dir vorführen aber friert dich ausversehen ein.,,
40,"Geisha übt in letzter Zeit ein Musikinstrument mit dem sie sich nicht gut auskennt. Du wolltes eigentlich mit ihr üben, aber nachdem du 2 Tage ihre schrägen Töne gehört hast, gibst du auf.",,
41,Draußen an deiner Wohnheimzimmertür klopft Jemand ungeduldig. Du wirs davon aus deinem Schlaf gerissen.,Öffne die Tür und schaue wer da ist. |Zieh dir die Decke über den Kopf und schlaf weiter.,"Du öffnest die Tür und siehst niemanden. Als du den Kopf senkst, merkst du, dass es Maskas Bruno ist. Du bringst ihn zu Maska zurück und sie schenkt dir aus Dankbarkeit einen blauen Keks. |Du kannst nicht schlafen und gehst schließlich zu Isabella in die Krankenstation. Sie gibt dir eine Box mit blauen Keksen, die gegen Schlaflosigkeit helfen sollen."
42,"Fenek lädt dich ein zur großen Bibliothek Ulbricht zum Spielen zu kommen. Du bemerkst, dass sich viel Staub auf den Bücherregalen angesammelt hat.",Such Putzzeug und wische den Staub weg. |Schau erstmal welche Bücher in dem Regal stehen.,"Während du Putzzeug suchst, verläufst du dich und trittst in ein verbotenes Zimmer ein. Dort wirst du verflucht und hustest 3 Tage, bevor sich der Fluch auflöst. |Als du ein Buch aufschlägst, fliegt sehr viel Staub durch die Luft und du wirst verflucht. Du hustest für 3 Tage, bevor sich der Fluch auflöst."
43,Während des Sportfestes an der Yume ist eine Athletin abwesend. Du musst deshalb vorübergehend ihren Platz bei einer Veranstaltung übernehmen.,Nimm am Sprint teil. |Nimm am Volleyball teil.,Beim Laufen trittst du auf eine Wolfsfoto und verknickst deinen Fuß. Du kannst das Rennen nicht beenden. | Du erhälst einen ordentlichen Schlag von Anastasia und wachst nach langem Koma wieder auf. Du kannst das Spiel nicht beenden.
44,Himoto lädt dich ein ein Spiel mit ihr zu spielen. Du hast passenderweise gerade Zeit und nimmst an.,"Spiele ""Blackjack"". |Spiele ""Schach""","Himoto Hände sind nass. Nach einmaliger Benutzung der Karten kann man sie nicht wieder verwenden. |Ihr seid nicht ganz sicher mit den Regeln und braucht sehr lange für eine Runde. Eigentlich hattet ihr ausgemacht, nächtest mal weiter zu spielen aber das Schachbrett hat nach wenigen Tagen in Himotos Wasserblase angefangen zu schimmeln."
45,"Du spielst mit allen zusammen ""Verstecken"" und musst einen Ort auswählen an dem du dich verstecken kannst.",Wähle das Dach des Klassenzimmers. |Wähle den Busch in der Nähe des Wohnheims.,"Du wirst zwar nicht gefunden, aber hast den Spielbereich verlassen. Dir wird vorgeworfen, dass du das Spiel kaputt gemacht hast und musst alle zum Essen einladen. |Du wirst zwar nicht gefunden, aber als du aus dem Busch wieder herauskommst, wirst du von Odanna, die gerade auf Patrouille ist entdeckt. Sie hält dich für pervers und verlangt, dass du einen Entschuldigungsbrief schreibst."
46,"Du triffst auf Feinde. Greifst du an? (Wenn du verlierst verlängert sich die Erkundungszeit. Wenn du dich vor der Herausforderung drückst, hast du keine Möglichkeit Belohnungen zu erhalten)",,"Dein Team besiegt die Feinde! |Obwohl ihr nicht gewonnen habt, kannst du sicher abziehen."
47,"Du triffst auf Feinde. Greifst du an? (Wenn du verlierst verlängert sich die Erkundungszeit. Wenn du dich vor der Herausforderung drückst, hast du keine Möglichkeit Belohnungen zu erhalten)",,"Dein Team besiegt die Feinde! |Obwohl ihr nicht gewonnen habt, kannst du sicher abziehen."
48,"Du triffst auf Feinde. Greifst du an? (Wenn du verlierst verlängert sich die Erkundungszeit. Wenn du dich vor der Herausforderung drückst, hast du keine Möglichkeit Belohnungen zu erhalten)",,"Dein Team besiegt die Feinde! |Obwohl ihr nicht gewonnen habt, kannst du sicher abziehen."
49,"Du erhälst ein Geschenk von Esau. Du freust dich schon riesig, als sie noch einen Satz hinzufügt und zwar, dass sie hofft, dass du dieses Geschenk an ihre Schwester Jakob weitergeben kannst. Auf keinen Fall sollst du es heimlich öffnen.",,
50,"Sonya läd dich ein ihr neues Gericht zu probieren. Direkt nachdem du einen Bissen gekostet hast, fällst du in Ohnmacht. Als du wieder aufwachst erfährst du, dass dieses Gericht extra für die Schulmädchen, die schlecht schlafen, entwickelt wurde.",,
51,"Auf der Straße triffst du KongMing. Du hoffst, dass sie dir helfen kann, die verloren gegangen Items zu suchen. Aber KongMing scheint etwas wichtigeres vor zu haben. Nachdem sie dir ein paar einfache Hinweise gegeben hat, ist sie schon wieder verschwunden.",,
52,"Du siehst, dass es neue Belohnungen in der Kapselmaschine gibt, aber du hast selber nicht mehr genug Ressourcen, um Kapseln zu ziehen. Um dieses Problem zu lösen, erledigst du deine Jobs noch fleißiger.",,
53,In der Bibliothek siehst du ein Buch flaschrum geöffnet auf dem Tisch liegen. Vermutlich hat es Jemand noch nicht fertig gelesen und liegen lassen.,Gib dieses Buch an Librarian.|Gib dieses Buch an Fenek.,"Dieses Buch hat Librarian nicht in der Bücherei gelassen, aber sie ist dennoch sehr erfreut, dass du als erstes an sie gedacht hast.|Fenek freut sich sehr, weil sie dieses Märchenbuch noch nicht fertig gelesen hat. Sie hat gerade angestrengt darüber nachgedacht, wo sie es denn nur hat liegen lassen~"
54,Du siehst einen blauen Knochen-Keks auf dem Boden. Sonst ist niemand in der Nähe.,Heb ihn auf und iss ihn.|Ignoriere ihn und laufe weiter.,"Aus dem Gras kommt plötzlich eine Katze heraus gesprungen und kratzt dich, weil du ihre Futter geklaut hast.|Du drehst dich nach ein paar Schritten um und entdeckst, dass der Keks bereits spurlos verschwunden ist."
55,Während des Sportfestes an der Yume ist eine Athletin abwesend. Du musst deshalb vorübergehend ihren Platz bei einer Veranstaltung übernehmen.,Nimm am Sprint teil. |Nimm am Volleyball teil.,Beim Laufen trittst du auf eine Wolfsfoto und verknickst deinen Fuß. Du kannst das Rennen nicht beenden. | Du erhälst einen ordentlichen Schlag von Anastasia und wachst nach langem Koma wieder auf. Du kannst das Spiel nicht beenden.
56,Himoto lädt dich ein ein Spiel mit ihr zu spielen. Du hast passenderweise gerade Zeit und nimmst an.,"Spiele ""Blackjack"". |Spiele ""Schach""","Himoto Hände sind nass. Nach einmaliger Benutzung der Karten kann man sie nicht wieder verwenden. |Ihr seid nicht ganz sicher mit den Regeln und braucht sehr lange für eine Runde. Eigentlich hattet ihr ausgemacht, nächtest mal weiter zu spielen aber das Schachbrett hat nach wenigen Tagen in Himotos Wasserblase angefangen zu schimmeln."
57,"Du spielst mit allen zusammen ""Verstecken"" und musst einen Ort auswählen an dem du dich verstecken kannst.",Wähle das Dach des Klassenzimmers. |Wähle den Busch in der Nähe des Wohnheims.,"Du wirst zwar nicht gefunden, aber hast den Spielbereich verlassen. Dir wird vorgeworfen, dass du das Spiel kaputt gemacht hast und musst alle zum Essen einladen. |Du wirst zwar nicht gefunden, aber als du aus dem Busch wieder herauskommst, wirst du von Odanna, die gerade auf Patrouille ist entdeckt. Sie hält dich für pervers und verlangt, dass du einen Entschuldigungsbrief schreibst."
58,"Du triffst auf Feinde. Greifst du an? (Wenn du verlierst verlängert sich die Erkundungszeit. Wenn du dich vor der Herausforderung drückst, hast du keine Möglichkeit Belohnungen zu erhalten)",,"Dein Team besiegt die Feinde! |Obwohl ihr nicht gewonnen habt, kannst du sicher abziehen."
59,"Du triffst auf Feinde. Greifst du an? (Wenn du verlierst verlängert sich die Erkundungszeit. Wenn du dich vor der Herausforderung drückst, hast du keine Möglichkeit Belohnungen zu erhalten)",,"Dein Team besiegt die Feinde! |Obwohl ihr nicht gewonnen habt, kannst du sicher abziehen."
60,"Du triffst auf Feinde. Greifst du an? (Wenn du verlierst verlängert sich die Erkundungszeit. Wenn du dich vor der Herausforderung drückst, hast du keine Möglichkeit Belohnungen zu erhalten)",,"Dein Team besiegt die Feinde! |Obwohl ihr nicht gewonnen habt, kannst du sicher abziehen."
61,"Hottie hat gerade erfahren, dass alle ihre Schülerinnen die Klausur bestanden haben. Sie ist außer sich vor Freude und als sie dich in der Klassenzimmertür stehen sieht, schenkt sie dir ein Geschenk.",,
62,"Bunny und Historia wetteifern darum, wer als erstes eine Belohnung aus der Kapselmaschine zieht. Letztendlich hat keiner von ihnen etwas bekommen.",,
63,"Du erhälst ein Geschenk von Esau. Du freust dich schon riesig, als sie noch einen Satz hinzufügt und zwar, dass sie hofft, dass du dieses Geschenk an ihre Schwester Jakob weitergeben kannst. Auf keinen Fall sollst du es heimlich öffnen.",,
64,"Sonya läd dich ein ihr neues Gericht zu probieren. Direkt nachdem du einen Bissen gekostet hast, fällst du in Ohnmacht. Als du wieder aufwachst erfährst du, dass dieses Gericht extra für die Schulmädchen, die schlecht schlafen, entwickelt wurde.",,
65,"Du hast fertig gebadet und merkst, dass der Föhn im Waschraum kaputt ist. Du kannst deine Haare nicht föhnen.","Mit nassem Kopf zum Wohnheimszimmer zurückkehren.|Setz dich in den Eingang des Waschraums und warte, dass die Haare von alleine trocknen.","Gerade als du den Waschraum verlassen hast, triffst du auf Aurora. Du leihst dir ihren Föhn und trocknest deine Haare.|Während du im Eingang des Waschraums sitzt schläfst du ein. Deine nassen Haare wehen lange im kalten Wind und du kriegst eine ordentlich Erkältung."
66,Die Kirschblüten auf dem Campus sind aufgeblüht. In der sanften Frühlingsbrise fallen viele Kirschblütenblätter zu Boden.,Fege alle Kirschblütenblätter am Boden zusammen.|Genieße in Ruhe die schöne Atmosphäre des Campus.,"Gerade als du fast fertig bist mit Fegen kommt erneur eine Windböe und wirbelt die Blütenblätter erneut durch die Gegend.|Du genießt den Anblick der Blütenblätter zu lange und vergisst am Ende, dass du einen wichtigen Job zu erledigen hattest."
67,Der neue Rennrad-Wettkampf ermöglicht es den Zuschauern aus der Nähe zuzuschauen.,"Gehe zur Ziellinie des Wettkampfs. |Gehe zu einem Straßenabschnitt des Wettkampfes, an dem ein hohes Risiko für Unfälle herrscht.","Du merkst, dass du dich verlaufen hast und an einen staubigen Ort ohne Menschen geraten bist. Auf einem Stein entdeckst du eine merkwürdige Markierung. |Am Straßenabschnitt kannst du Chevalier und ihre Gegnerin beobachten. Du wirst fast von einem Stein getroffen, der in deine Richtung geschleudert wird, als die beiden um die Kurve flitzen. Dir bricht kalter Angstschweiß aus."
68,Du bist vom Chaodo-Club eingeladen worden und gehst zum Aktivitätscenter des Clubs um Tee zu probieren.,Trinke eine Tasse schwarzen Tee. |Trinke eine Tasse grünen Tee.,"Du trinkst alles und fällst in Ohnmacht. Bevor du dein Bewusstsein verlierst, siehst du eine weiße Silhouette, die eine Kristallkugel in den Händen hält. Als du aufwachst merkst du, dass du schon wieder im Wohnheim bist. Auf deinem Bett liegt ein Päcken, auf dem steht ""Danke fürs Probieren der Medizin"". |Als du gerade einen Schluck nehmen willst, erscheint Iron Fist urplötzlich und nimmt dir die Tasse weg. Stattdessen gibt sie dir eine Tasse schwarzen Tee."
69,Im Briefkasten liegt ein Umfragebogen für dich. Auf diesem steht nur eine einzige Frage：Welche Karte magst du?,Herz-Ass. |Piek König.,"Du entdeckst, dass unter dem Umfragebogen noch eine kleine Box liegt. In ihr findest du einen kleinen Teddybär, der eine Krone trägt. |Am nächsten Tag findest du im Briefkasten einen roten Apfel mit schwarzen Federn."
70,"Du triffst auf Feinde. Greifst du an? (Wenn du verlierst verlängert sich die Erkundungszeit. Wenn du dich vor der Herausforderung drückst, hast du keine Möglichkeit Belohnungen zu erhalten)",,"Dein Team besiegt die Feinde! |Obwohl ihr nicht gewonnen habt, kannst du sicher abziehen."
71,"Du triffst auf Feinde. Greifst du an? (Wenn du verlierst verlängert sich die Erkundungszeit. Wenn du dich vor der Herausforderung drückst, hast du keine Möglichkeit Belohnungen zu erhalten)",,"Dein Team besiegt die Feinde! |Obwohl ihr nicht gewonnen habt, kannst du sicher abziehen."
72,"Du triffst auf Feinde. Greifst du an? (Wenn du verlierst verlängert sich die Erkundungszeit. Wenn du dich vor der Herausforderung drückst, hast du keine Möglichkeit Belohnungen zu erhalten)",,"Dein Team besiegt die Feinde! |Obwohl ihr nicht gewonnen habt, kannst du sicher abziehen."
73,"Auf der Straße triffst du KongMing. Du hoffst, dass sie dir helfen kann, die verloren gegangen Items zu suchen. Aber KongMing scheint etwas wichtigeres vor zu haben. Nachdem sie dir ein paar einfache Hinweise gegeben hat, ist sie schon wieder verschwunden.",,
74,"Du siehst, dass es neue Belohnungen in der Kapselmaschine gibt, aber du hast selber nicht mehr genug Ressourcen, um Kapseln zu ziehen. Um dieses Problem zu lösen, erledigst du deine Jobs noch fleißiger.",,
75,Du willst den Unterschied zwischen klarem und Schneeeis erfahren. Deshalb gehst du zu Fencer. Sie will es dir vorführen aber friert dich ausversehen ein.,,
76,"Geisha übt in letzter Zeit ein Musikinstrument mit dem sie sich nicht gut auskennt. Du wolltes eigentlich mit ihr üben, aber nachdem du 2 Tage ihre schrägen Töne gehört hast, gibst du auf.",,
77,Die Einkaufsstraße ist heute sehr voll. Du gehst durch die Menge und siehst ein weißes paar Flügel.,Du streckst deine Hand aus und berührst die Flügel.|Du gehst an den Flügeln vorbei.,Die Flügelbesitzerin erschrickt sich und scheint ihre Fähigkeiten einzusetzen. Du verbrennst dir die Hand.|Phönix hat sich schon vor einer Weile verlaufen und ist sehr erfreut dich zu sehen. Sie umarmt dich und lässt dich sie zu ihren Lieblingsgeschäft bringen. Als Dankeschön schenkt sie dir eine ihrer Federn.
78,"Auf einem Fest schlägt Jemand vor, das Licht auszuschalten und ""Reise aus Jerusalem zu spielen""",Trete Anastasias Team bei.|Trete Iron Fists Team bei.,"Alle sagen, dass Anastasia eine besondere Wahrnehmung im Dunkeln hat und ihre Teilnahme an so einem Wettbewerb nicht fair ist, bis sie schließlich zurück tritt. Ihr könnt am Ende nur die Teilnahmebelohnungen erhalten. |Iron Fist schwenkt im Dunklen wirr ihren Arm und zerstört einen Stuhl nach dem anderen. Ein gegnerisches Team scheidet aus, weil es keine Stühle mehr gibt, die geklaut werden können. Am Ende gewinnt dein Team, aber die Organisatoren nehmen die Hälfte eures Gewinns, um die Stühle zu reparieren."
